gene_id
B2M
HLA-A
HLA-B
HLA-C
HLA-E
HLA-F
HLA-G
HLA-DPA1
HLA-DPB1
HLA-DQA2
HLA-DQB2
HLA-DRA
HLA-DRB1
NLRC5
CIITA
TAP1
TAP2
PSMB8
PSMB9
PSMB10
MEX3B
IFNGR1
IFNGR2
JAK1
JAK2
STAT1
STAT2
STAT3
IRF1
IRF2
IRF3
IRF4
IRF7
IRF8
IRF9
CD274
PDCD1LG2
SOCS1
SOCS3
CCL2
CXCL1
CXCL8
CXCL9
CXCL10
CXCL11
CXCL16
IFNG
TNF
FAS
TNFSF10
PRF1
GZMA
